Ourcontigname,MM.darkorange
contig107011,NA
contig107014,NA
contig107034,0.827817063793605
contig107038_176913_23072_214634,NA
contig107044,NA
contig107053_203540,NA
contig107054,NA
contig107057,0.83596651563287
contig10706,NA
contig107063_146687,NA
contig107075_139342_146964,NA
contig107077,NA
contig107080,NA
contig107084_178316,NA
contig107087,NA
contig107093,NA
contig107099,NA
contig107100_100361,NA
contig107101,NA
contig107102,NA
contig107104,NA
contig107111_53356,NA
contig107114,NA
contig107121_107282_107455_179053,NA
contig107125,NA
contig107126,NA
contig107129_171376_80582,NA
contig107137_156361,NA
contig107168,NA
contig107169_177306_195303,NA
contig107173,NA
contig107174_178201,NA
contig107181,NA
contig107192,NA
contig107200,NA
contig107216,NA
contig107238_217315,NA
contig107249,NA
contig107253,NA
contig107260,NA
contig107265,NA
contig107272,NA
contig107280,NA
contig10729,NA
contig107308,NA
contig107312,NA
contig107315,NA
contig107337,NA
contig107344_203427_218804,NA
contig107345_135184_111900,NA
contig107347,NA
contig107351,NA
contig107354,NA
contig107357,NA
contig107358,NA
contig107359_23926_108104,NA
contig107364,NA
contig107375,NA
contig107381,NA
contig107388,NA
contig107393,NA
contig10740,NA
contig107400,NA
contig107407,NA
contig107427_107528,NA
contig107436,NA
contig107446,NA
contig107457,NA
contig107464_139478,NA
contig107467_160055,NA
contig107483,NA
contig107491_4138_148087,NA
contig107493,NA
contig107497,NA
contig107502,NA
contig107508,NA
contig107510,NA
contig107520,NA
contig107521,NA
contig107526,NA
contig107537,NA
contig107545,NA
contig107564,NA
contig107567,NA
contig107577,NA
contig107578,NA
contig107580,NA
contig107582,NA
contig107589_134182,NA
contig107595,NA
contig107598_210245,NA
contig107606_77873,NA
contig107613,NA
contig107632_139787,NA
contig107633,NA
contig107634,NA
contig107635_109780_99008_147692,NA
contig107636_114401_15385,0.825343975448593
contig107640,NA
contig107644,NA
contig107650,NA
contig107660,NA
contig107662,NA
contig107679,NA
contig107681,NA
contig107704,NA
contig107709,NA
contig107714_157140,NA
contig107716,NA
contig107722,NA
contig107727_178063,NA
contig107738,NA
contig107739,NA
contig107740,NA
contig107743,NA
contig107745_150852,NA
contig107747_113402_82447,NA
contig107751,NA
contig107770,NA
contig107784,NA
contig107787,NA
contig107808,NA
contig107811,NA
contig107815,NA
contig107818,NA
contig107824,NA
contig107829,NA
contig107842,NA
contig107853,NA
contig107859_211134,NA
contig107862_136900,0.41346771512
contig107869,NA
contig107875,NA
contig107878,NA
contig107880,NA
contig107885_182290_209642,NA
contig107888_176930_93752,NA
contig107891,NA
contig107893,NA
contig107901,NA
contig107904_151594,NA
contig107912,NA
contig107914,NA
contig107927,NA
contig107941_213491,NA
contig107946_69479_110858,NA
contig107951,NA
contig107958_178923_99058_179523,NA
contig107962,NA
contig107973,NA
contig107974,NA
contig107980,NA
contig107982,NA
contig108010,NA
contig108016,NA
contig108020,NA
contig108029_146401,NA
contig108044,NA
contig108056_58352,NA
contig108067,NA
contig108075,NA
contig108083,NA
contig108092,NA
contig108100_59002_82866,NA
contig108108,NA
contig108111,NA
contig108118_151668,NA
contig108144,NA
contig108146,NA
contig108147,NA
contig108151,NA
contig108154,NA
contig108166,NA
contig108169,NA
contig108171,NA
contig108172,NA
contig108173,NA
contig108178,NA
contig108179,NA
contig108188,NA
contig108191,NA
contig108194,NA
contig108200,NA
contig108201,NA
contig108205,NA
contig108208_111166,NA
contig108215,NA
contig108218,NA
contig108224,NA
contig108242,NA
contig108248,NA
contig108252,NA
contig108254_113304_150793,NA
contig108258,0.442460967410613
contig108266,NA
contig108272_94404_112472,NA
contig108275,NA
contig108277,NA
contig108283_140572,NA
contig108285,NA
contig108300,NA
contig108301_172272_112069_145285_176143_104325,NA
contig108303_153229,NA
contig108308,NA
contig108311,NA
contig108313,NA
contig108324,NA
contig108362,NA
contig108386,NA
contig108387,NA
contig108393,NA
contig108403,NA
contig108414,NA
contig108422_106981,NA
contig108426,NA
contig108430,NA
contig108434_147514,NA
contig108447,NA
contig108453,NA
contig108456,NA
contig108461,NA
contig108471_108935,NA
contig108474_128978,NA
contig108484,NA
contig10849,NA
contig108495,NA
contig108511,NA
contig108514,NA
contig108524_123069,NA
contig108544,NA
contig108546,NA
contig108565_69610,NA
contig108569_211830_208029,NA
contig108577,NA
contig108579,NA
contig108589,NA
contig108609,NA
contig108612_71107,NA
contig108619,NA
contig108627,NA
contig108628,NA
contig108632,NA
contig108636,NA
contig108643,NA
contig108665,NA
contig108672_103432_111604_204789,NA
contig108681_212136,NA
contig108686,NA
contig108688,NA
contig108691,NA
contig108692,NA
contig108694,0.896110184307515
contig108696,NA
contig108699,NA
contig108721,NA
contig108723,0.719937700555368
contig108733_110761,NA
contig108737,NA
contig108745,NA
contig108751,NA
contig108763,0.684928938045554
contig108771,NA
contig108782_176775,NA
contig108784,NA
contig108787,NA
contig108793_113642,NA
contig108794,NA
contig108804_204250,NA
contig108805_58936_110496,NA
