CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6	Can_H_rep2	Can_H_rep3	Can_H_rep5	Can_H_rep6	Vat_H_rep1	Vat_H_rep3	Vat_H_rep4	Vat_H_rep6
contig176384	0.628608768682795	-1.46997575174481	0.278746966685052	-1.05286554203694	-0.475002086166998	0.389503066618255	0.825187446000049	-1.38133278418472	-0.424705526480412	0.0436370431854112	-1.47409050563804	0.661765988532355	1.83889511281018	1.74410443547823	0.876226491582925	1.02277259440627	-0.0924613047113008	0.231618370383647	-2.17063278340195
contig210169	3.06066079228449	0.835969901252826	0.670975348090687	0.75857699906229	-0.154111334619881	-1.94844507928822	-1.2037522558953	-1.50316988921293	-4.74836128227723	-1.50225727239332	-0.546492218263671	1.04181124545499	-0.801817554252225	4.39870114722897	2.22763567533921	-0.990804593337781	-0.880958976549691	1.90154153761591	-0.615702190239118
contig160086	-3.00430963105538	4.10921377042381	1.69157285869778	3.33172376323754	-3.00430963105538	-3.00430963105538	-3.00430963105538	-3.00430963105538	-3.00430963105538	-3.00430963105538	0.438103120727436	-3.00430963105538	1.03658279959152	2.33104499081112	-3.00430963105538	3.15050847799672	3.8047703408252	4.43192718006938	2.71333937711793
contig156503	-0.737736794828112	-2.34103204089949	-1.34174463178886	-2.47845884508117	-0.366323973402103	2.86954061119719	0.937267919807536	-1.84097725848414	-1.62983250502566	1.99315761823272	-0.402637508759785	0.682328595866863	0.342659722250481	-6.0594484692274	-0.18593053198901	2.44173587285047	2.42918302134132	2.59437111375989	3.09387808417925
contig114078	-1.92502406538728	-0.821295285989213	0.338187157846309	-0.396546817107803	0.880958123049213	1.72533070145375	-0.127177336654547	0.614751861343042	2.05427887860817	1.09469189517811	1.98208987491414	-1.96350425002486	-1.29903081725166	-1.07432453007697	-0.67833144915481	-1.22099783554088	1.15383343448985	-0.695946298256082	0.358056758561512
contig178862	0.019513720518848	-3.30597599757162	0.126712994738531	1.6052509479122	2.02919353383533	3.26541279167397	3.0440229002166	2.78203592986619	-0.950411431392124	0.185390315319578	-1.03689391772437	-0.988491207817552	-5.66718288781035	4.22557696184544	-0.627781252402633	-1.85458198320975	-3.02980449293805	-0.0858015094808477	0.263814584420607
contig79925	0.21531585192254	0.427380267452818	0.373470422852246	-0.368502246533919	1.67697142019297	0.827093179603307	1.33350024678019	-0.398106603452408	0.240198800234752	0.382125832206115	0.573593680347662	-1.29090272003607	-1.73943097515825	-0.936471985461374	-1.87161869086322	0.0521341219326636	-0.0875405008588985	0.237426218677042	0.353363680161835
contig215666	-0.851216282297619	2.24119598173548	-0.313855342458559	0.72286887694198	-0.969513728587962	-2.97531994937524	-1.83654219945682	-1.16994831879268	2.74073871029968	1.5292498401011	1.91215189872575	1.66241295610135	-0.355404386946462	1.73652109851325	0.626119231501235	0.980583672699935	-6.24898502423243	1.18263793548086	-0.613694969952849
contig107681	0.736328555403264	-1.02932286324425	-0.0393779628081159	0.36387693488	0.965572550470481	-5.42801525844682	0.0799379109582246	-5.42801525844682	-0.697864434604854	-0.163666495095651	-0.459878414644527	2.39102058567228	-0.805377691909357	1.29220847528398	1.38750893743786	0.923082986371853	2.01927464279233	1.95593954015868	1.93676725977144
contig203756	0.668834666561997	0.151023119665694	-0.311430371100208	-0.263022268371149	0.176923805821556	2.37062452423159	1.33393837385079	-0.126039768491184	0.0136849951754288	0.715663289782067	-0.56818802704629	-1.97363587075382	-1.21235059739221	-1.20471053519007	-0.446565535241164	-0.0116421933335698	0.66374252411847	-0.139733794084661	0.162883661796736
contig49218	-4.21356321419829	5.32343381372493	-4.21356321419829	4.792981671677	3.28105240105734	2.10563922064775	-4.21356321419829	4.21540824690968	-4.21356321419829	5.09397915554252	-0.249257006162529	-4.21356321419829	4.78595486771913	4.49734306844711	4.0755334882217	-4.21356321419829	-4.21356321419829	-4.21356321419829	-4.21356321419829
contig219002	0.526845894753602	-2.20303311737233	-2.20303311737233	0.960465614910546	-2.20303311737233	-2.20303311737233	-2.20303311737233	3.06895273437739	2.34952839833819	3.34296613100525	3.28840314017703	-2.20303311737233	-2.20303311737233	-2.20303311737233	-2.20303311737233	2.83663171151251	2.73181359054495	2.92472395810388	-2.20303311737233
contig183984	0.740566013774484	2.3105459120078	-0.9549878612124	0.191554797532357	-1.17917629757275	0.114902931030825	-0.887832491570973	-1.66147916138469	-0.928460751735146	-2.54691187464196	-2.16269351886117	2.08698256043247	2.84716711602238	-3.2717919946506	1.3653894141494	0.888798036628693	2.14868858090669	1.98679819089814	-1.08805960175356
contig120903	-3.34906876209594	-3.34906876209594	3.76878209319651	-3.34906876209594	-3.34906876209594	0.372960015806908	-3.34906876209594	-0.895682881729485	1.47340647021211	3.57874474850222	-3.34906876209594	1.63264691997283	1.13616483404861	-3.34906876209594	0.037052394718919	1.85616733575391	4.37922592801545	4.83837239415429	1.26564108201927
contig153757	0.189516576585915	-0.373331850485691	3.2615615428834	-1.11654835597577	-0.467602483436595	-6.6520414814523	-6.6520414814523	-0.781824738179694	-0.22416717465961	-0.057627295105708	-0.310891857469688	2.18262233637027	2.07300092195416	2.52456553315685	1.84781636161762	2.99709072316969	1.13076675738497	-0.66113198953723	1.0902679546317
contig8462_600015	1.43169444180097	0.122865808583215	1.15411602163809	0.801795364681722	-0.718083233242483	-0.334019572961942	1.28381380193012	-2.01936899404962	-2.7144719796901	-1.11563040155682	-1.67322899745822	1.36737890937284	0.294337575629486	1.48402217394898	2.04846145018721	0.196068821711045	-2.02562023582422	1.42679730525603	-1.01092825995629
contig165011	-0.965986847699872	-2.30463280318534	-3.15799515253719	-1.47787865569161	0.827689567132387	0.461341591671584	-0.992664556059858	-2.00054830718565	-0.840455208929929	1.55941012236792	-0.152916228704591	-0.423531579347711	0.547920590296359	-0.631846818011867	-0.179049293543288	1.33361727400447	1.69636009873404	3.16225312182283	3.53891308486732
contig170439	-2.25514105547804	3.24817587389265	-0.877739624692241	-2.25514105547804	5.28168118059358	0.00247307457150603	3.3386907456726	-2.25514105547804	3.18375057659199	-1.36917629872406	-0.494707180807924	0.590047879862042	-0.998130437272011	-2.25514105547804	1.48070601654815	-0.959418030938067	-2.25514105547804	0.123370567775695	-1.27401906568372
contig181803	0.369847864600031	0.309114870509716	0.519495592913718	0.551366741325985	-1.0562839333206	0.560224855341929	-0.714665504819084	-1.00696093927656	-0.558878920212679	-2.19247113404229	-0.937175418076087	1.38752293761862	0.869222427709206	0.694226093694719	1.18391804180274	-0.0436423965082877	0.355176085189867	-0.544953114813124	0.254915850362186
contig171792	3.17467838883722	-1.91448074307402	-0.655920629925301	0.400429692999842	-0.245106943481304	-0.795393727532496	-0.563767100234612	-3.55309076328279	0.675099393203344	-0.891642417728261	0.185927116242513	2.76207935079972	-0.0786818104288596	2.86294615891384	3.06236697874491	1.66247967202615	-5.69321498719186	-0.362871716774631	-0.0318359121134044
contig164822	-3.29208986209128	-3.29208986209128	3.01413591601931	2.23137800209047	3.83644069624574	2.84805481730799	-3.29208986209128	0.963410871057102	-3.29208986209128	-3.29208986209128	-3.29208986209128	2.0877736541624	2.9732907713549	3.70610564106197	2.97004257744812	-3.29208986209128	0.819859540372108	0.886226409610169	-3.29208986209128
contig147517	-1.08576437198454	-2.42925668566433	0.502448851237107	1.03000166749015	1.77818645771349	-3.02762189098798	1.22712330664124	2.02331507423725	1.65747728101863	1.35877522126783	0.726410427368063	-1.61619564526151	-1.63420569051643	-1.63310774903202	-0.0261799168140704	-1.10618556018168	1.22795437395493	-0.294918537092372	1.32174338660624
contig151249	2.34845624780689	-1.37247076702811	0.427552472522059	-3.10906920524971	3.01574788795227	0.589927211816033	-0.926685966490465	0.502077983003788	-1.24092677056604	3.87712007449339	-1.47233923662742	2.99761821578907	-1.19872101938791	1.48662879376375	-0.665852220901258	-1.75635175895581	-0.443067158993481	-1.24304858635214	-1.81659619659487
contig93633_174756	1.072252695912	0.06360267831907	1.24204079978426	1.30052919588066	0.0777861590638074	-0.0498103020325897	1.47118437267887	0.493897149254389	-0.491005539562444	-0.334186340037597	0.507172875547967	-1.15548837992713	-1.15548837992713	-1.15548837992713	-1.15548837992713	-0.378121270476714	0.678413696742036	-1.15548837992713	0.12368572856192
contig75916	-2.3666434458368	2.61817372845678	2.17988064907167	-2.3666434458368	-2.3666434458368	-2.3666434458368	1.82049084563773	-1.00207101354095	-2.3666434458368	0.757850126358502	3.14943475464214	-2.3666434458368	-2.3666434458368	-2.3666434458368	-0.790363188215449	2.13606904012926	3.41106556875574	2.37875525255237	2.27386180284664
contig106831	-1.16866726821122	-1.16866726821122	-1.16866726821122	4.43201877027301	-1.16866726821122	-1.16866726821122	-1.16866726821122	-1.16866726821122	-1.16866726821122	-1.16866726821122	-1.16866726821122	4.991728589584	4.05139176892349	-1.16866726821122	1.23323620339674	-1.16866726821122	0.354894687845797	0.129404466722779	-1.16866726821122
contig177434	1.72255895698531	-0.381617797958506	-1.44581360324159	1.38192462528247	-1.95420272919557	-1.54338514217476	-3.28849982061443	0.437976262588344	-2.57489496530425	-0.408188601936251	0.650655835914811	1.64915443949893	1.35699886395238	0.942410861197239	1.40588577184778	1.1799954411475	-0.136958935554997	-0.0118321046956842	1.01783264226127
contig147903	1.81625844042218	0.61346262915369	-0.875052379804122	-0.405166403529659	1.1832641157867	-0.049673775911191	4.92858797708654	-0.875052379804122	-0.875052379804122	-0.875052379804122	-0.875052379804122	-0.875052379804122	-0.31629494943036	-0.875052379804122	0.774333149377394	-0.875052379804122	-0.875052379804122	-0.207841467323252	-0.461458297394947
contig174539_138689	1.45877914677005	-0.808810067287358	0.927589097723206	1.79793202712799	-0.633494154995373	1.06217972545493	0.711321178786199	-1.38038482564939	-1.96991337656827	-0.906425583237956	-1.43178761214401	-0.547113421153154	1.15365933956924	1.47824901096827	-0.247799186031584	0.342697412809691	0.198251596546828	-0.102465154344658	-1.10246515434466
contig188700_165491	0.0295915683522997	-0.380228221655525	-0.336623452341871	0.175800500820804	-0.249606552584203	0.174028147967815	-0.528186103042626	-0.434625926880288	-0.397255233216177	-0.146349019136579	-0.528186103042626	-0.528186103042626	-0.0835190362007185	-0.368556917221398	-0.0212795484619329	0.617165282529994	0.722775470490593	1.67720640994706	0.606034836718008
contig76749	-0.122617473223886	-0.769700932880677	-1.22964852369291	-0.270360020587138	0.885079922442082	-0.529146425483017	1.15573983084678	1.24306571387912	1.78276639113448	1.10664289344053	0.606950055753427	-2.06071503429798	-0.737633244794247	-2.06071503429798	-0.468557032172619	0.225870448965961	0.661750990173112	0.00967429359341887	0.571553181201534
contig108303_153229	-0.00918468926317972	-0.758299366095502	0.417600469998495	0.378834401763157	0.858504601094286	1.83511084022946	1.73212964984128	-0.64024360457379	-1.26317395549397	0.276853313763541	-0.256696391422762	-0.0207238818162649	-1.26317395549397	-0.734102655664855	-0.417583546646112	-1.26317395549397	0.602349003645997	0.134629006368523	0.390344715259633
contig59759	-0.381582929011146	4.6281740264761	1.76026156306583	3.99887684712308	-1.08216583558379	2.70416071238424	-0.986731378246062	-0.673892257220454	-1.13912172039586	-0.759121247638595	-0.236756723517993	-0.252905491610423	-1.7144340510833	-1.7144340510833	-1.11036272741444	-1.7144340510833	-0.519716588189701	-0.672490221113133	-0.133323875857751
contig204638	0.0204143229958889	0.126475690056895	2.78305499608969	-0.631414580085776	0.336587157681428	2.19275731540225	2.00296215403654	0.378544446251598	1.01887153975475	0.561476528455619	0.704736874624113	-2.8835879932878	-0.986347567713004	-1.95834808780039	-0.546733354162338	-1.35451669345869	-0.539895924108784	-0.599666220980185	-0.625370603751785
contig108577	-2.73827348541529	-1.46864183447485	-2.73827348541529	6.10559105005355	5.72753776906079	-2.73827348541529	-2.73827348541529	4.94342876347284	-0.946667760710738	3.87783421218529	-2.73827348541529	-2.73827348541529	6.47241977255895	5.40950636742236	-2.73827348541529	-2.73827348541529	-2.73827348541529	-2.73827348541529	-2.73827348541529
contig175615	-2.4682850954449	-3.57776667488027	0.711536326460733	-0.223876845301815	-2.27275036077234	-0.0177283154931223	-0.751646937904508	3.14178632463546	0.425869442445002	2.11459503624923	1.91579313373371	-0.714367204739697	-0.693285465556471	0.259047892818212	1.10919709707181	1.23754216579629	1.51018808630861	-0.123361469156206	-1.58248713626974
contig156955	1.8160470211948	0.7415244268367	0.162000358175903	0.597293244982914	0.202085951760039	0.407237748684303	0.0464345578393619	-1.24954069205377	-1.9144392649328	-2.08943920241031	-4.92253168588152	0.368371865603473	0.182182373850144	2.59888030789727	1.56389308949974	-0.359373555478714	0.187372080501496	-0.0546846300993176	1.7166860040303
contig178007	-1.39182639485042	-0.871561330806971	-2.94107283996676	-2.54765263088992	0.306910096731894	-0.0589653452881302	-1.28438440902037	-1.82527163982799	-0.12225511301301	0.458098253853063	-0.88276898623293	1.03074758819852	0.617409323891359	0.0415793856919908	0.0766540433541811	2.07983614979622	1.10127753026473	3.20162679250535	3.0116195256092
contig118532	-0.0810415890842222	0.900528179938793	-1.2618004560396	-0.688283691150344	-1.20558513151425	-1.23136407001912	-1.2402370210684	-0.899445495575874	-0.0431156372326793	-1.45792209459426	-0.824060945655027	2.8262949020744	1.42769378461951	1.23562974145285	0.925821300714833	1.0403974649871	0.579386738322464	0.628837539332945	-0.631733519509123
