CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Can_E_rep2	Can_E_rep3	Can_E_rep4	Can_E_rep6	Vat_E_rep1	Vat_E_rep3	Vat_E_rep4	Vat_E_rep6
contig148569	0.393578015466263	1.18143307570884	1.28872412447441	1.23838599386455	1.35323591805841	-0.826610808311955	0.31834659428157	0.268616384602846	0.304807952977002	0.0437047280468237	-0.692661413526702	-2.00488315246779	-0.188520464228555	-0.817392278282576	-0.457615677617893	0.363990546109412	-1.11904322924173	-1.00884180489024	0.360745494977313
contig21283	0.831629883505075	-0.221494120203042	-0.741961562953282	-0.371836455136821	-0.686649969498615	-1.20381514552981	-3.37945304118345	-1.13353280857363	0.787702952804616	0.185647140971006	-0.781367674665248	1.44671151801011	0.647348193108652	0.941584226234489	0.165244987070185	1.08277027691481	0.345671453329214	2.12320360227449	-0.0374034564787369
contig193546	0.717531050683641	-0.752097960160476	-1.26129749425308	-0.164924182937876	-1.98260024394363	-0.899314230951151	0.372997584176896	-0.518189311257741	0.48721749990493	-0.349759416791082	-0.420885793293634	1.28135261631491	0.728488014154992	-0.72319766590088	1.4781116285178	0.574878583299586	-0.511976323098132	0.679598922240903	1.26406672329404
contig181762	1.2653788645311	-0.401908086100744	0.0317376211765641	-0.37584153178123	-0.6579673210182	-1.41092600320538	-4.10223682343168	-0.461962961282961	-0.429585194103297	-0.00546896871699243	0.188777277985621	1.74310267756655	1.19667804618196	0.21238720316477	0.476943324695468	-0.329823268683199	1.03005210951758	1.78431332389266	0.246349709611406
contig210347	-0.211245397158224	0.57721833662973	-1.45064343872478	-0.578799790215461	-0.812801378400674	-0.539143589863671	-0.58749789573538	-1.02841043804173	-0.660705569744584	0.370658601164751	1.05651691039274	0.263492155131554	1.26459101651524	0.138161128290771	0.771852028577278	-0.417132336363456	1.32060831315336	0.973203615873655	-0.449922271481125
contig177434	0.989253233240678	-0.925054751394608	-1.83598360968217	-0.820762120558807	-1.98921627698824	-0.411809983235933	-1.00052531432637	-0.965997721661181	-1.16983457454926	0.347944902726834	0.801652354554861	2.00004693206399	0.579022532552624	-0.572200818915673	1.7692289137116	0.732588616611212	0.436003915827655	0.517248182810642	1.51839558721214
contig147903	1.28436072003727	-1.06048526692878	-1.28992881632748	-1.43788669771458	0.873035037515765	1.05370989669587	0.959916264147911	5.5658841733241	-1.43788669771458	-0.334221214948882	-1.43788669771458	-0.103890579518126	0.0659708348628509	-0.785285480118059	0.450028437923555	-1.43788669771458	-1.43788669771458	0.174229854510305	0.336109627396595
contig199820	0.87187065353479	-0.902606767680405	1.51084637203377	-1.34238675466946	0.661780171465913	-0.135128787263421	-3.48251097857853	-0.941243960992703	-3.48251097857853	-0.529245739563688	1.54016753530753	1.38494075059298	1.37542026758644	1.01510138703983	0.885489032095241	0.0874661147460363	0.269274067442483	0.956912694263071	0.256364921218668
contig169275	1.22872292388276	1.09648113769579	0.731286415592771	0.662691951014167	0.0137905501828555	-0.285635546209659	-0.00325626201211104	0.405716299103474	1.19153071542813	-0.0994454904045625	-0.967638502912212	-0.239161116410158	-1.38859273655749	-0.810232970660579	-0.553093139077638	0.271248431478063	-0.0895060196562767	-0.902695439779004	-0.262211200698329
contig212772_149597	0.168461524133435	0.706363824445558	0.0142352090491102	-0.0651992584452947	0.955987875092573	-0.28244544103361	0.253756249454515	-0.376034385080791	0.256728836442068	0.367668493861695	1.06429585195668	-0.82209877998026	-0.433170540781192	-0.709519511390553	-0.660094294377711	-0.458948022366384	-0.382186612062387	-0.299082369416943	0.701281350499489
