ContigID,signif
contig137200,1
contig137477,1
contig13754_113152,1
contig13755_150035,1
contig137669,1
contig137748,1
contig137787,1
contig137849,1
contig137923,1
contig137942,1
contig137981_203898_145182,1
contig138068_105798_165792,1
contig138264,1
contig138363_24017,1
contig138440_73954,1
contig138471,1
contig138500,1
contig138574,1
contig138627,1
contig138708_203764_105282,1
contig138718,1
contig138742,1
contig138910_147843,1
contig138920,1
contig138999,1
contig139051,1
contig139133,1
contig139179_179336,1
contig139183_149899,1
contig13924,1
contig139321,1
contig139529_205941,1
contig139550,1
contig139569,1
contig139619_119147,1
contig139635,1
contig140063,1
contig140100,1
contig140101_198139_25397_17843_172052,1
contig140165_218913,1
contig140406,1
contig140420_24118_19480_21068,1
contig140424,1
contig140663,1
contig140774_54258_205078,1
contig140801_116503_151042,1
contig140807,1
contig140848_148808,1
contig141112,1
contig14119_216264,1
contig142098,1
contig142459,1
contig14252_104298_212521,1
contig14360,1
contig143834,1
contig143957,1
contig14469,1
contig144753,1
contig144756_159110_160473,1
contig144810,1
contig145002,1
contig145010,1
contig145025,1
contig145043_179370,1
contig145091_115718,1
contig145094,1
contig145110,1
contig145121,1
contig145127,1
contig145138,1
contig145158,1
contig145161,1
contig145165,1
contig145185,1
contig145217,1
contig145267,1
contig145347,1
contig145357,1
contig145387,1
contig145389,1
contig145390_123740_152068,1
contig145391,1
contig145400,1
contig145419,1
contig145431,1
contig145436_106480,1
contig145441,1
contig145446,1
contig145455,1
contig145461,1
contig145471,1
contig145485_117598,1
contig145533,1
contig145665,1
contig145710,1
contig145715,1
contig145724,1
contig145730,1
contig145731,1
contig145746,1
contig145784,1
contig145799_109588,1
contig145802,1
contig145804,1
contig145820_81671_70063,1
contig145821,1
contig145830_152934_69049_75651,1
contig145860,1
contig145894,1
contig145997,1
contig146059,1
contig146114,1
contig146126,1
contig146138_80765,1
contig146166_13605,1
contig146263,1
contig146266,1
contig146290,1
contig146377,1
contig146379,1
contig146414,1
contig146419,1
contig146422,1
contig146447_205870_218311,1
contig146476,1
contig146479,1
contig146482,1
contig146511,1
contig146537,1
contig146559_191353,1
contig146569,1
contig146633,1
contig146662,1
contig146680,1
contig146694,1
contig146713,1
contig146732,1
contig146738,1
contig146769,1
contig146771,1
contig146788_211999,1
contig146791,1
contig146820,1
contig146847,1
contig146872,1
contig146899,1
contig146913,1
contig146916,1
contig146927,1
contig146966,1
contig146969,1
contig146975,1
contig147000,1
contig147034,1
contig147050,1
contig147054,1
contig147064,1
contig147106,1
contig147115,1
contig147132,1
contig147134,1
contig147141,1
contig147156,1
contig147158,1
contig147174,1
contig147192,1
contig147195,1
contig147198,1
contig147203,1
contig147253,1
contig147262,1
contig147265,1
contig147300,1
contig147309,1
contig147319,1
contig147326,1
contig147335,1
contig147350,1
contig147379,1
contig147395,1
contig147436,1
contig147437,1
contig147465,1
contig147470,1
contig147477_178487,1
contig147479_118982,1
contig147502,1
contig147503,1
contig147510,1
contig147542,1
contig147555,1
contig14756_136805_22265_109621,1
contig147569,1
contig147577,1
contig147578_154493,1
contig147648_71291,1
contig147654,1
contig147672_149990,1
contig147696,1
contig147704,1
contig147713,1
contig147716,1
contig147721,1
contig147735,1
contig147744,1
contig147752_80244,1
contig147754,1
contig147759,1
contig147779,1
contig147781,1
contig147786,1
contig147802,1
contig147815,1
contig147816,1
contig147824,1
contig147827,1
contig147832_125813,1
contig147841_218745,1
contig147847,1
contig147852,1
contig147869,1
contig147894,1
contig147904,1
contig147909_153909,1
contig147952,1
contig147964,1
contig147967,1
contig147977,1
contig147978,1
contig147992,1
contig148020,1
contig148035_194027,1
contig148048,1
contig148050,1
contig148067,1
contig148068,1
contig148070,1
contig148072,1
contig148082,1
contig148086,1
contig148089,1
contig148090,1
