"CoPt_E_rep1","CoPt_E_rep2","CoPt_E_rep3","CoPt_E_rep4","CoPt_H_rep1","CoPt_H_rep2","CoPt_H_rep3","CoPt_H_rep4","Falu_E_rep1","Falu_E_rep3","Falu_E_rep4","Falu_E_rep6","Falu_H_rep1","Falu_H_rep4","Falu_H_rep6","Ftele_E_rep3","Ftele_E_rep5","Ftele_E_rep6","Ftele_H_rep1","Ftele_H_rep3","Ftele_H_rep5","Ftele_H_rep6","Can_E_rep2","Can_E_rep3","Can_E_rep4","Can_E_rep6","Can_H_rep2","Can_H_rep3","Can_H_rep5","Can_H_rep6","Vat_E_rep1","Vat_E_rep3","Vat_E_rep4","Vat_E_rep6","Vat_H_rep1","Vat_H_rep3","Vat_H_rep4","Vat_H_rep6"
"contig179807",-1.07929291805517,0.121963067088161,0.65032632821729,0.461281542759563,7.87232633139807,9.78737686556546,7.15060344625704,8.34636161250592,0.996286222280013,2.00874670768153,1.14306740392908,1.90267526593341,8.7635143110568,7.87981802705891,7.9410223954848,1.85164412359987,-0.0896608258331924,1.69293978847767,8.54242708991532,10.690756303801,8.14311037967422,8.90573564138761,-0.198336205004013,2.29208243406738,1.37731611709562,2.52895049187894,10.0091372814662,10.8798794924742,9.60001515278592,9.23449232708305,0.718855510763826,1.09242841031244,-1.07929291805517,-0.275020817822833,8.00252019196497,10.6049049652304,9.12895556513335,8.74778752717114
"contig171850",4.76045698225912,5.66083739008133,5.96628546217284,4.79723313474332,8.0703654346569,8.81502495373339,8.32371821105199,8.04893781972927,5.26728104098157,5.46121749827589,5.94241768740914,5.58522607437712,9.66126710172698,8.9171486451436,8.80617160223416,4.97452001116874,4.42391379084945,4.90265556341246,8.59191485116041,9.11516980326717,8.29077372764567,8.38151862932613,5.18268260468121,4.9619608475298,5.42508911052288,6.10000405933465,7.75739223218237,7.72982431387401,8.5184311913629,7.72591837814352,5.24781151516797,5.59010507237257,4.69655734288292,5.98501961021462,8.36072724080825,8.59156364486755,8.44324296306644,8.84206577000194
"contig202444_149735_68940",7.02464236717962,7.61265558274911,8.06588084366165,7.90358029751701,11.3891995573481,11.2951552386761,11.1576239732669,10.9579964413406,8.22552083078804,7.95277876279609,8.7441219760039,8.34213260276228,12.669184408628,11.5022096462326,11.9426617853084,8.18453586928354,7.1807343873819,8.29756053113118,11.2135428841217,11.5651085644027,10.9808074361783,11.8313729804068,7.7249864093775,7.38079402074363,8.44669173601186,8.19481928572798,10.3889485944023,10.4537625267535,10.8871366904527,10.3761661037917,7.34246717186377,7.76142726984262,7.79280442220985,7.97083198984814,10.4592575731179,11.7440380498301,10.9327606930247,11.3829765545579
"contig78501",-1.07929291805517,-1.07929291805517,0.177622131942478,-1.07929291805517,5.37316528344256,6.29283853043727,6.02475542591807,6.48222769347315,-1.07929291805517,-0.329006133339819,-1.07929291805517,-1.07929291805517,6.81888391607265,7.15347180316594,7.48559861721304,-1.07929291805517,-1.07929291805517,-1.07929291805516,6.98012770348933,8.05954368350065,-1.07929291805517,7.82306067974622,-1.07929291805517,-1.07929291805517,-1.07929291805517,-1.07929291805517,6.85699685086857,6.53565395161931,5.47810105859593,5.33757595785966,-1.07929291805517,-1.07929291805517,-1.07929291805517,-1.07929291805517,7.35839684219248,7.55538758878668,6.11292277744433,5.29205564802071
"contig146916",6.38215439663335,7.02490169364257,7.20117488086885,7.12295147018557,3.5808267675527,2.95358392851221,3.35291954781647,3.65533391418595,7.10879285698068,6.68381528670214,6.71652569516457,7.16433029223472,2.83834559667186,3.82270707292947,4.00827396995194,7.04634957511622,6.3676201907347,6.62130872462747,4.65859138521814,4.45426369438241,3.48072218510007,4.54911093889909,7.02588406060143,7.2188392832156,7.76275406818848,6.72357885282883,4.08455586753025,3.34896377585978,3.02552428865746,3.75727801622976,7.05505212879947,6.81327078637087,6.91068892290258,7.26777500603998,4.88674847083389,3.66081246762413,4.06001660594315,4.65935046240475
"contig180223",3.7854299652432,3.77555300854459,3.48756773915109,3.63745752403173,7.21795743469481,8.08017789680081,6.63714703445894,7.82035578557304,3.39448729526976,4.2868720236835,3.98196363096163,4.37808040421213,7.97111684351685,7.25384245095572,7.15176835956626,4.76171084116473,4.2223482598044,4.27295587079328,6.79128458631481,6.78652627273863,7.01447893520463,7.75660536878669,4.40494187858189,4.26879447200437,4.44089356341379,4.27765775865694,7.48294776052523,7.55451359447073,7.95869463414936,7.54243853705631,4.77838777880654,4.05737686489943,4.01248145805137,3.16181110130167,5.97062720285058,8.54253036092227,6.66708949567245,7.15583605688551
"contig203839",9.16441516964012,9.47817258467767,8.9232079359231,9.21395283132992,11.8178161243118,10.9081698286408,12.3893970264588,12.7923258113454,9.05725549324668,8.64199290487161,8.91376190632667,8.79289841334198,11.9713658270744,12.957814848436,11.9178565001346,8.49780474358739,9.02403631248426,8.79257966676506,13.1235317234932,14.0207921647402,12.6066781714837,13.832913274252,8.83075430914074,9.36264737747415,9.08843630095943,9.588444276925,13.0200607400581,12.9896882368329,10.9673862384463,12.6627258360121,9.01241200576309,9.24916299847819,9.21576921156694,9.33557358659311,12.6198600805596,12.4620649797622,12.0463670823897,12.7153641030621
"contig182681",1.96246341260646,2.79291287348087,1.29073882228501,2.25244669566376,7.41667435335252,6.9676410577736,7.0374485900393,7.83063929387665,0.471155432876124,3.59632987219187,3.04995157958146,2.15859298132673,8.43735379322492,7.57810590609217,7.58021535079894,2.91244432477946,2.48660446918606,3.58168787210051,7.28530074516524,7.63566689883357,6.83699325263755,8.78033416973114,2.77525517818947,3.97103897882893,3.16536583558408,3.6094137731612,6.91191751418431,7.07202780439672,8.44095111777976,7.6921801474686,2.36841111550083,1.75558238003568,1.68471523088676,2.98002381962226,6.18484291690979,7.52204965700464,7.60695932358845,8.44640676387287
"contig196008_74613_169873",6.55555257210694,7.16749352995329,6.90119712026765,6.6287028287504,9.05831780363829,8.70078299015594,8.77362933590393,8.94962072511245,6.80154514197414,6.42662739531053,6.98046147300339,6.66836041251226,9.2137541530729,9.49738104174111,9.5764443144923,6.43157622690197,5.96614183037891,6.34748796665228,8.44062299375592,9.59858277593075,8.9447426445439,9.79205380180855,6.13288071612244,6.47060245375125,6.5941119965131,7.09900662961282,8.38724883205168,8.78333772716532,8.66192505159207,8.62647328117951,6.23879887245163,6.53863410704615,6.40389382348113,7.11809918075217,8.4912163257567,8.94598009901586,9.15039598837309,9.4429226387678
"contig211469_148901_120483",10.0947278824687,10.5008389839642,11.0808375846729,10.8695564090092,13.0114028426728,14.0505623896331,13.4821822306447,13.6600391111638,10.3808860005333,10.9126891736319,10.8889130241983,10.9099144500971,14.4908693198049,14.0659899780163,14.0866372603204,10.8368920854484,10.5365274218769,11.418812934671,13.5507432659104,14.560436010462,13.2751883421548,14.5838691736187,11.603602724722,11.0713420822259,11.789114089285,11.6970583750056,13.6797573358301,13.7816366910793,13.6607183816059,13.1942965141653,11.0825739550807,11.3090129787929,11.7625300127161,10.9559341543923,14.0343119912594,14.0298149094386,13.5995510141145,13.9834875170804
