"logFC","logCPM","F","PValue","FDR"
"contig152125_210541",3.67118092427684,12.1786062133957,96.5082562133514,1.59706943204136e-11,1.27000642361647e-08
"contig114829_170976_600076_145434_138914",3.18056214894128,9.12107219206874,95.9954325245566,1.70984206904778e-11,1.29170019106215e-08
"contig10366_169504",-2.49389474511029,8.05267704741995,94.5586526554107,2.07304773301234e-11,1.34863328290151e-08
"contig215127",5.75962386852987,5.33805666536998,94.4779664951009,2.09572851377558e-11,1.34863328290151e-08
"contig110410_184557_147700_202559_176745",2.54389663377464,7.62083072152923,94.2022302586154,2.17524062712547e-11,1.34863328290151e-08
"contig130463_206849_121171",5.41021784369171,9.91917563536547,94.6450102111059,2.26731721065633e-11,1.34863328290151e-08
"contig179807",8.97988827452886,8.30140664900199,98.9620354581721,2.30873101037456e-11,1.34863328290151e-08
"contig144845",2.22381966462864,10.4776255088448,93.7241369657049,2.32076678505787e-11,1.34863328290151e-08
"contig148721",4.27841006082235,7.5781501405328,92.8150098777864,2.62667316365906e-11,1.46986684554536e-08
"contig109571",3.75108264338889,5.84103467395706,92.1716498988608,2.86877363103727e-11,1.47620128138495e-08
"contig145091_115718",-2.23250813680394,8.67030369589797,92.0705269954908,2.90892578628162e-11,1.47620128138495e-08
"contig110464",3.33148440117825,7.75689639255619,92.0153046388233,2.93110321275719e-11,1.47620128138495e-08
"contig187488",6.81407716009311,11.2947222359219,96.2062962780869,3.04192994964167e-11,1.48259740674632e-08
"contig117309_183823",7.87365995173177,12.6042121265747,97.6717290340361,3.3010815852312e-11,1.55862630222682e-08
"contig169202",5.53257875646466,11.7245548472897,91.2798201614652,4.46827329937183e-11,2.00107722382123e-08
"contig182735",3.49686858037496,6.25349196066468,88.8999004214344,4.52398016928499e-11,2.00107722382123e-08
"contig169674",-3.56036894605174,7.3093303429772,88.7274293705588,4.63549558764598e-11,2.00107722382123e-08
"contig54829_112491",2.21005119777798,8.31874064696378,88.1250251406333,5.04838227015126e-11,2.10300641824929e-08
"contig203761_176231",1.99598972993447,8.97332974726745,87.9847657796459,5.14999255246698e-11,2.10300641824929e-08
"contig150050_182788",2.30858104508572,11.969003404414,86.6286540093849,6.25179455850777e-11,2.47553698193658e-08
"contig180223",3.90949575268369,6.55496891489565,86.4767070542171,6.38996242607231e-11,2.47553698193658e-08
"contig74800_140085",3.75613962480124,10.0687817522029,85.0611680927504,7.84380741747135e-11,2.96280215676436e-08
