"logFC","logCPM","F","PValue","FDR"
"contig150330",2.93469693915971,6.69604550591562,63.3660940999189,2.58125026279501e-09,6.67421596532567e-07
"contig212185",7.01719867660555,5.65462488329666,63.4957144012724,2.60625284237352e-09,6.67421596532567e-07
"contig215292",9.54369329130387,7.60866128534983,65.9517822846933,2.78380278780497e-09,6.99742484399149e-07
"contig79841_173655",3.40377175524526,8.96414203531233,62.8621297246641,2.8250904459824e-09,6.99742484399149e-07
"contig77705_76642",2.01846425015894,8.6811359152372,62.344030468438,3.10135140805496e-09,7.55779329424233e-07
"contig110861",2.31080752180862,6.79899091311016,62.1628964035546,3.2045652165043e-09,7.68536124701008e-07
"contig163512_152421_180625",2.25105265342661,9.17232021551931,61.8103596427224,3.41601534916534e-09,7.93515932153663e-07
"contig113595_145371",1.67514891875863,8.36868462471224,61.7770243691557,3.43676032927016e-09,7.93515932153663e-07
"contig75868",2.43642519530351,10.1134706421849,61.7299515071034,3.46628178715611e-09,7.93515932153663e-07
"contig187078",9.41535750451254,7.35092233052158,64.3034406304808,3.55328339826726e-09,7.97991921491986e-07
"contig195937_159998_212442_178694_188820",3.65653594933511,6.38824737904907,61.5349497703082,3.59146539555596e-09,7.97991921491986e-07
"contig146692",1.67276400776338,8.74919339205855,60.8109577782255,4.09975943764167e-09,8.97728483236637e-07
"contig209055",5.47677842094661,5.79798082639955,60.2151674403452,4.57511182272958e-09,9.86445880632784e-07
"contig68882",-3.96151868163739,6.35654642886736,60.1442159786748,4.63549258884954e-09,9.86445880632784e-07
"contig74800_140085",3.51138304026859,10.0687817522029,59.8395513638327,4.90451856944087e-09,1.02919959813447e-06
"contig152085",1.78939114493695,11.6505426613405,59.3303764446353,5.39168560745489e-09,1.11593120332926e-06
"contig145010",2.99978562045074,10.1618616535769,58.4163593992071,6.39926697226651e-09,1.30539064384851e-06
"contig175866",2.05589194257876,10.0603940519632,58.3499431768522,6.4798661915837e-09,1.30539064384851e-06
"contig58086",1.89390752291429,8.33517193402454,57.3248104321457,7.87003634563094e-09,1.55548568123606e-06
"contig153015",4.21888479840029,8.66986719445043,57.2390758551225,7.99981504425962e-09,1.55548568123606e-06
"contig80984_4320",-6.3229183260978,4.13199174565814,57.2192332442107,8.0301729523074e-09,1.55548568123606e-06
"contig71989",1.93050149246102,7.91560912373285,56.1933816483474,9.77842468701613e-09,1.86231595202357e-06
"contig107904_151594",4.57630494133883,8.28452222443969,56.1621479700585,9.86069734343013e-09,1.86231595202357e-06
"contig24499_94274",5.60734102993635,9.72756987819736,57.4038571471081,1.02259274377388e-08,1.88494781747191e-06
"contig182396",3.05914320780776,5.85825316820713,55.9598963581714,1.02300430890659e-08,1.88494781747191e-06
"contig79838",3.51084567510873,8.45756665181126,55.7908016869009,1.05708722101208e-08,1.9237032110221e-06
"contig151255",3.18127385161571,7.66972686982851,55.7306379808282,1.06950208303565e-08,1.9237032110221e-06
"contig203822_16792_151889",3.03618748976546,5.31571592450405,55.3505981241391,1.15157744236472e-08,2.02814140832364e-06
"contig18796_204438",-3.75943986667335,5.16678871975939,55.3379888124165,1.15441234440289e-08,2.02814140832364e-06
"contig110464",2.83165988418101,7.75689639255619,55.2264903014563,1.17980397425174e-08,2.04892623528385e-06
"contig144845",1.86945301235893,10.4776255088448,55.0681859033842,1.21687512882666e-08,2.08929162743659e-06
"contig203401",-2.12331541255096,6.85498657120139,55.0071253857101,1.23150185532281e-08,2.09064736315419e-06
"contig76327_211015",2.1882475074956,7.84287198984093,54.8978919683416,1.2581343954992e-08,2.11212806462193e-06
"contig191389",3.8572366657406,8.69700282699853,54.0687229088715,1.48129960034067e-08,2.4594456770931e-06
"contig204757",2.81045867487352,8.03881226099181,53.9786242803171,1.50795976702556e-08,2.47649609999883e-06
"contig219229_106934",3.57771881213602,7.49812322546723,53.8093557087062,1.55942941012229e-08,2.53348590941266e-06
"contig208547",2.55041093071461,5.56512923458454,53.6696704639776,1.60330392083275e-08,2.57705520636831e-06
"contig150452_81742_180562",2.41228439510307,8.09896225569179,53.4414046495293,1.67783708075333e-08,2.66846741611601e-06
"contig177321_106959_163805",2.75716019056988,12.0373068500424,53.0173272773432,1.82621566418896e-08,2.87419713231573e-06
"contig148710",-4.79772653482379,7.21139528820974,53.4267966164204,1.90550472967752e-08,2.96806917120595e-06
"contig205447",3.09212770691674,7.59259623121723,52.7088287203657,1.94285116001993e-08,2.99536103844297e-06
"contig152025",4.62375011111482,7.3140443252551,52.6442091043693,1.96826647732827e-08,3.00389274807604e-06
"contig182681",4.82805044853809,6.69768939947117,52.1263623663941,2.18510632927181e-08,3.27901973467291e-06
"contig81437",4.29076765083064,4.52276452295475,52.1109277162882,2.19194515323293e-08,3.27901973467291e-06
"contig179434",3.39259987850939,6.92333170557369,51.7449778080049,2.36090924064374e-08,3.49715467812611e-06
"contig153512",3.69914686421212,10.6055924594691,51.5981173775351,2.43254608162287e-08,3.56828531526601e-06
"contig151689",2.22102124064689,9.02738559917611,51.3963287361492,2.5347519562492e-08,3.68245839490088e-06
"contig209263",5.35093142655356,5.51514133237176,51.3183573193661,2.57545361588862e-08,3.70595511261535e-06
"contig203661_212297",3.06931305966362,6.37262045641957,50.8767464191504,2.81941864458106e-08,4.01023287202737e-06
"contig170277_177948",4.14023249395745,9.94950346454262,51.0288045735449,2.83999548154695e-08,4.01023287202737e-06
"contig170945",2.50189408664067,7.37246088457752,50.6568962736741,2.9498881738705e-08,4.12683892768606e-06
"contig169959_13002_150419_175881_179376_120230",2.99687461467278,6.94868147427742,49.867289586272,3.47375040305034e-08,4.81512796694382e-06
"contig146940",2.49195819393961,5.7161198847811,49.5902854755554,3.68015539840969e-08,5.05486071950655e-06
"contig107100_100361",3.14471378823063,7.06075414977834,49.5319054689753,3.72529031575188e-08,5.07075778204461e-06
"contig146916",-2.38382623720229,6.1532690612136,49.2053631944215,3.98879223562318e-08,5.38095195428845e-06
"contig147785_111657_104575_74373",2.02226021992754,8.16696121280557,48.7980740096359,4.34540207074754e-08,5.79095737457386e-06
"contig78207",2.22526373602163,7.50719826305225,48.7719738088132,4.36937679992998e-08,5.79095737457386e-06
"contig167279",-2.92833286926885,8.1202208379514,48.6769771817866,4.45782664603656e-08,5.85680893869273e-06
"contig194129",2.69235000667616,5.05944816638883,48.4672469179427,4.65988506942304e-08,6.06950030292351e-06
"contig176840_73113",2.12418186002136,8.01703826743695,48.3487146740624,4.77835039324042e-08,6.17060650354441e-06
"contig72800",2.25568547406811,5.74759829835169,48.2132665572293,4.91763673412875e-08,6.25849428310969e-06
"contig145005",1.75735795767141,9.44241718502743,48.202154520824,4.92925289357372e-08,6.25849428310969e-06
"contig168150",3.26770679883281,8.88366416585392,48.0485766301897,5.09280781241744e-08,6.41226943648459e-06
"contig10642_157839",3.4550966497794,4.6917740816424,47.9684860321698,5.18037194423982e-08,6.46861485169583e-06
"contig73908",3.04230576453362,9.12051841808927,47.8604321748461,5.30104284162237e-08,6.56503740115347e-06
"contig149768",2.83930697839762,5.49621017459991,47.8094455968804,5.35901308909768e-08,6.58287225716885e-06
"contig209414",2.36737251355039,9.46990820900632,47.741801616665,5.43696028176767e-08,6.62476071751837e-06
"contig82908",2.40490369131183,7.76876140421173,47.6067089574093,5.59624456443717e-08,6.72888930925203e-06
"contig148902",3.03471640432667,8.391333175336,47.5939928304322,5.61149019105008e-08,6.72888930925203e-06
"contig176959",3.03804415092057,10.5315808840979,47.5273556580426,5.69210509455006e-08,6.77181227350842e-06
"contig75137",-3.8149395985358,8.65689438899466,47.6948396331886,5.75690078285062e-08,6.79539171313203e-06
"contig205225_169604_210274",-1.9773998582116,8.09012020862674,47.4066505450792,5.84126748948625e-08,6.83942381691652e-06
"contig68383_180363_132010",2.87474661906156,9.91975335718839,47.3720866692976,5.88473821033257e-08,6.83942381691652e-06
"contig152525_133323_139160",-4.30917815455798,5.32744322551338,47.304077155847,5.97127641124327e-08,6.88702406850951e-06
"contig71601",3.48245471332456,7.28775865119976,46.8296346900508,6.61375259305523e-08,7.57024150973269e-06
"contig152450",-2.84110653571202,9.71465393569311,46.4768275128914,7.13878451491396e-08,8.10976655908534e-06
"contig203761_176231",1.58293694827875,8.97332974726745,46.3760909740344,7.29666607530135e-08,8.22726326356179e-06
"contig79663",3.84241984995152,10.9087238904763,46.3867817770215,7.62003069212047e-08,8.52822546127764e-06
"contig148578_170429",-5.04276526547834,7.74465862548796,47.3559797071999,7.71966713722567e-08,8.57620961590754e-06
"contig100368",-2.66702264610084,5.97392553752937,46.0114855451154,7.89972477142919e-08,8.71218551616961e-06
"contig167513_83019",1.45550594418467,9.54898701267489,45.9147298609902,8.06846723989969e-08,8.83380228461192e-06
"contig97434_110103_5055_73339",-2.61745221385945,5.37325943098683,45.8498680928032,8.18372035938444e-08,8.89552740359277e-06
"contig181491",7.6168419969471,6.28802068494371,46.9213879273718,8.33692727012075e-08,8.99733100887532e-06
"contig171654",3.34039953394337,5.2480288296339,45.7140156678986,8.43080376755051e-08,9.03411447687381e-06
"contig109664_201994",2.46096997432808,7.94649874487365,45.6488504848525,8.55211562573689e-08,9.09957147811681e-06
"contig146476",2.13329960028987,6.88543130595144,45.6012963548925,8.64180844914468e-08,9.13070516490399e-06
"contig153936_205344",3.56548548931829,5.12196799046736,45.3588172842618,9.11490107776451e-08,9.56368335999611e-06
"contig104770",3.13087086269884,7.03378370509222,45.3249735998662,9.1830826864962e-08,9.56877215932904e-06
"contig150721",3.28946879413134,5.23432280727468,45.2780954582703,9.2784169471295e-08,9.60189052425888e-06
"contig215127",4.11955255668031,5.33805666536998,45.1964324093384,9.44700347792949e-08,9.70984867673718e-06
"contig600013_189161",1.40794248102487,8.48549186794186,45.1117182837853,9.62532064143052e-08,9.738417589735e-06
"contig147000",3.15053724175714,7.9769806332905,45.1043361881078,9.64102734567508e-08,9.738417589735e-06
"contig145188",1.68906406994305,7.54028730622372,45.0916128186027,9.66816227718743e-08,9.738417589735e-06
"contig130463_206849_121171",3.92557838354707,9.91917563536547,44.9749807684164,1.04029858265038e-07,1.03635973462262e-05
"contig204398_111448",-4.15669105481999,6.66764695059876,44.8520204437953,1.04260162593579e-07,1.03635973462262e-05
"contig68366",2.70627418419005,6.52847774986825,44.6650319622943,1.06263775774324e-07,1.0493721491335e-05
"contig149499",2.27923596347342,10.0525352429597,44.6092214276079,1.07589946767174e-07,1.04989160772577e-05
"contig107125",2.5572092937983,6.25688011970915,44.5666085948715,1.0861430786072e-07,1.04989160772577e-05
"contig114829_170976_600076_145434_138914",2.33827175605427,9.12107219206874,44.5485195133958,1.09052265268146e-07,1.04989160772577e-05
"contig77862_150672",2.64625352745993,9.25471028846779,44.5309395328583,1.09479688780122e-07,1.04989160772577e-05
"contig189582_176945_11815_152396",2.42063659602027,11.360877638845,44.4904558649389,1.10470731749717e-07,1.04989160772577e-05
"contig81647_79368",2.87670760401541,5.69861314052388,44.4757076979366,1.10834124713681e-07,1.04989160772577e-05
"contig191718",-3.57300633097021,3.94444879894306,44.4616967065311,1.11180526332731e-07,1.04989160772577e-05
"contig157823_206050_25964_212918",2.95105555405669,7.77910840228556,44.2220874682187,1.17285364879889e-07,1.09055153872389e-05
"contig149078_57008",1.89673475533216,7.44787076211021,44.2150538613024,1.17469844915796e-07,1.09055153872389e-05
"contig76370",3.20771729993284,6.11836387773144,44.2081331003509,1.1765166510821e-07,1.09055153872389e-05
"contig151288",-6.33032109952061,3.72162811451046,44.1105127229243,1.20248309028421e-07,1.10284790079359e-05
"contig97352_151359_175689",2.55057131091306,7.8259616557917,44.103465836195,1.20438085664797e-07,1.10284790079359e-05
"contig147694_119584_187929",1.8694414940116,7.99537677988147,44.0445071068883,1.22038359273637e-07,1.10465607119229e-05
"contig145821",2.80203276144672,8.51605792164345,44.0423329851261,1.22097798589657e-07,1.10465607119229e-05
