"logFC","logCPM","F","PValue","FDR"
"contig4073_75996_107226_77540",-3.97418691548754,6.46670522579354,58.6665704992748,6.10502559514191e-09,9.22408317169992e-07
"contig169354",2.53876678793077,8.08684507738483,58.4448601219798,6.36500602960273e-09,9.52167090111561e-07
"contig182588",6.70795336589766,3.44073620877393,58.2656139857751,6.58375512971007e-09,9.75234865243034e-07
"contig170277_177948",3.86442434645849,9.94950346454262,58.1529177432988,7.03018281757676e-09,1.03125273971619e-06
"contig145821",2.87954615751952,8.51605792164345,57.6611911119147,7.38197765273862e-09,1.07244519572334e-06
"contig68882",-3.72741495766919,6.35654642886736,57.5990751423624,7.46963135253452e-09,1.07484438195661e-06
"contig179434",3.14768481468003,6.92333170557369,56.8711653058264,8.58300221826488e-09,1.22340170297891e-06
"contig171762",2.4157892121163,9.42961975091074,56.6978054281622,8.873246625382e-09,1.25295218002707e-06
"contig153512",3.38322967204885,10.6055924594691,56.5832055879381,9.07080446817067e-09,1.26898874731102e-06
"contig147000",3.14264292334642,7.9769806332905,56.4041921422331,9.38877727546314e-09,1.30142234729333e-06
"contig96362_105148_204751_179203_112698",1.94627655115161,10.1255196577738,56.1850931144248,9.79409012527627e-09,1.34526279729817e-06
"contig147484",1.84797473065205,5.77119589119368,56.1006318461473,9.95524619410824e-09,1.35507941213317e-06
"contig110410_184557_147700_202559_176745",1.92395433488574,7.62083072152923,55.9237550762254,1.03018997887774e-08,1.37816084826872e-06
"contig25115_185846_195739_54681",2.8002429242527,8.69886276364934,55.8684442505161,1.04129060903151e-08,1.37816084826872e-06
"contig96421_189251",3.12008243788729,7.12817790051091,55.8568098152489,1.04364166445924e-08,1.37816084826872e-06
"contig150452_81742_180562",2.19464791077932,8.09896225569179,55.8305567355453,1.04896748660337e-08,1.37816084826872e-06
"contig177573_174738_205250",2.49348168709583,8.22872944076329,55.6871415812433,1.07857370421819e-08,1.3822996305054e-06
"contig182396",2.70060638666034,5.85825316820713,55.6685732130744,1.08247110383498e-08,1.3822996305054e-06
"contig176405_179494_181052",2.7287780220177,9.94031477154649,55.6404450044351,1.08840348472074e-08,1.3822996305054e-06
"contig145830_152934_69049_75651",2.2681134126556,10.9179981257644,55.6014653389283,1.09668144900383e-08,1.3822996305054e-06
"contig209414",2.28375568520875,9.46990820900632,55.5959321248368,1.09786190787377e-08,1.3822996305054e-06
"contig96903",2.03327617134233,7.70071079003902,55.2863076474508,1.16610904097604e-08,1.45024947547274e-06
"contig176840_73113",2.03758271255691,8.01703826743695,55.2647425591884,1.17102677879194e-08,1.45024947547274e-06
"contig73062",2.22136498449267,9.35155247347949,55.1190900208842,1.20482188287335e-08,1.47997185596207e-06
"contig69474",3.24054994090286,6.4697891402616,54.7693370044943,1.29026089315737e-08,1.56929417998949e-06
"contig107636_114401_15385",3.10573192279484,5.34884615868928,54.7376559890901,1.29831075847962e-08,1.56929417998949e-06
"contig153936_205344",3.40710574777463,5.12196799046736,54.638561643558,1.32383480418726e-08,1.58744603622741e-06
"contig133281_210552",3.022573671673,5.54612947391507,54.0932504530459,1.47412863742269e-08,1.75374878604878e-06
"contig123587_153243",2.03934292940755,8.46901340649038,54.0260132197199,1.49387464134858e-08,1.7633556215731e-06
"contig145450_181814_176045",1.62440989868172,12.4035594928445,53.9607293390357,1.5133150793726e-08,1.77245562280935e-06
"contig168150",3.05204626055107,8.88366416585392,53.8434808384385,1.54890523247649e-08,1.80018531980671e-06
"contig206001",3.094031851342,8.55360356776074,53.4421995524132,1.6775712566088e-08,1.93484153558033e-06
"contig77705_76642",1.66192647177529,8.6811359152372,53.3228172596767,1.71799793093399e-08,1.96645687412739e-06
"contig208547",2.2808527289566,5.56512923458454,53.2271753844178,1.7511291496123e-08,1.98930904672874e-06
"contig153015",3.47382360988733,8.66986719445043,52.9011131630975,1.8692584559967e-08,2.09423603028418e-06
"contig140848_148808",2.55919706158643,10.3228467989888,52.8958982503817,1.87121493208263e-08,2.09423603028418e-06
"contig76370",3.1544529598329,6.11836387773144,52.5948924366125,1.98789976145122e-08,2.20846893351224e-06
"contig167812_219222",1.53225638733189,9.84914968630925,52.5341561204925,2.0123645860021e-08,2.21932967371575e-06
"contig148578_170429",-5.44190828838775,7.74465862548796,53.9486362762969,2.06659290664996e-08,2.26261972656335e-06
"contig145162",1.62150111044901,8.35677186736271,52.2127899261755,2.14722686253434e-08,2.33398925654902e-06
"contig107100_100361",2.8527474551574,7.06075414977834,52.1600531537857,2.17025687292913e-08,2.34217222093473e-06
"contig183334",8.83546957636452,7.62817648318299,55.4298184773371,2.20651977037427e-08,2.36441895110531e-06
"contig173344",2.41689509177086,5.09178184262857,52.0194438440008,2.23294800201552e-08,2.37588812411637e-06
"contig104770",2.97510798421379,7.03378370509222,51.927754882768,2.27485839939889e-08,2.39818737014982e-06
"contig204986_65743",2.14410018718168,7.04471018768843,51.904433358187,2.28565081277102e-08,2.39818737014982e-06
"contig178007",4.7402961874237,3.75982825054563,51.8191354390374,2.32558778693509e-08,2.41636898354192e-06
"contig183659",7.89115263223671,5.43536319351087,56.5205641797335,2.33566545333324e-08,2.41636898354192e-06
"contig73790_119706_55953_118306_194528",2.36940169909988,6.73164802557777,51.7657510880864,2.35095797591278e-08,2.41636898354192e-06
"contig107904_151594",3.71224565871132,8.28452222443969,51.4356761215957,2.51983755511795e-08,2.57244767704575e-06
"contig204757",2.41152571454768,8.03881226099181,51.3322150751297,2.56816951218918e-08,2.58777374279572e-06
"contig145894",2.69540790749649,6.88004296133488,51.3304331789143,2.56910491375576e-08,2.58777374279572e-06
"contig204685",2.07287731580884,8.18929580193546,50.1470880858356,3.27766158753102e-08,3.26987274230958e-06
"contig115192",3.27735350248633,4.94080051975729,50.1296010248336,3.28956685969327e-08,3.26987274230958e-06
"contig81437",3.63175723072461,4.52276452295475,49.9973551193746,3.38109629487733e-08,3.33888783786284e-06
"contig71477_78060",2.93764335188231,7.24026575891413,49.6217155726635,3.65609614934796e-08,3.58701017665573e-06
"contig119246_210650_24711",2.02364477486759,6.06141476924202,49.5305578832161,3.72633905937963e-08,3.63233915149464e-06
"contig218304_81205_71518",-2.86825211743969,5.42722727779176,49.3407492024533,3.87722453315045e-08,3.75519137636988e-06
"contig202558",3.78613806709712,8.55428909679937,49.4187551152213,4.00603876843915e-08,3.85523820078644e-06
"contig96924_203695_177534",1.78403465052102,7.8342775892946,49.0116734190601,4.15435328434666e-08,3.97266606159454e-06
"contig205447",2.59922346152718,7.59259623121723,48.8471716487528,4.30067931573087e-08,4.08672728184766e-06
"contig208269",3.23258222147244,6.89837145074438,48.6323578932287,4.50002342048991e-08,4.24942836626138e-06
"contig72727_219834_4951_112640_104338",2.53273593267275,6.12276072732199,48.0972598043702,5.04034874517947e-08,4.7301011919824e-06
"contig148718",5.13233106512318,9.47754985972559,49.7310545690547,5.29537815633145e-08,4.93875731876617e-06
"contig25792_177711",2.2349614404223,5.60545711751509,47.7389317792727,5.44029366827951e-08,5.01827927810929e-06
"contig172664_169314",3.64754016475424,7.8522806674335,47.7450413278001,5.4470699689584e-08,5.01827927810929e-06
"contig64802",3.10329890175569,10.7645864747923,47.3924840049344,5.85904337820609e-08,5.36510826674641e-06
"contig83050",3.51271560935617,5.60506936688706,47.3129000529969,5.95997412358675e-08,5.42429263880914e-06
"contig153036",2.44174321925519,7.18991797336622,47.2852434923497,5.99547865961431e-08,5.42429263880914e-06
"contig79841_173655",2.52639470325294,8.96414203531233,47.1740576094914,6.1404910537408e-08,5.5224213887482e-06
"contig153597",7.28834727598102,5.09250108910908,47.8306286127331,6.19741529409356e-08,5.5406359573053e-06
"contig145043_179370",2.18701498357296,10.0776632182746,46.9866219919367,6.39342175561204e-08,5.68224760620837e-06
"contig80984_4320",-5.00511073376184,4.13199174565814,46.921379344561,6.48403067195404e-08,5.72907715921366e-06
"contig177051",2.16469996431589,8.57534756450377,46.8582446738122,6.57300731274281e-08,5.77392834233902e-06
